nvar	input delims
106	#%
51	>/?
97	<=$%
95	;,!
15	!:,;
21	=,
100	=#
61	#!?>
62	:/
63	:$
90	%:$/
46	:;?
88	#:?;
80	/!<
11	=<
14	<=#
41	!>
33	/,=%
68	#,;/
9	;$?
76	/#
2	%>?=
109	;!$
48	=,
94	;</:
27	/<:
70	<:
105	=,#$
45	?%:
4	;,
36	?$!
75	<!
64	=%;<
31	%#=
13	=#
89	?>/#
84	$,<%
18	?>!
71	!#
103	$:#
35	=;
52	=>?;
8	<?
67	$/=>
107	!=#
49	/>;
39	:#!,
66	/:
82	<=!>
16	%=
43	%<%
7	,>;
55	><
111	#/?%
58	?=$
22	=$
38	?!;%
47	:<=,
74	?#
85	$?;
112	%;>$
17	/,>
92	,>
25	,#:?
78	=?
65	:$/
108	=#%?
86	;#
99	%!>
83	/!>$
102	:,#
57	/,
34	:</
40	=?#,
24	=;
77	!?$
79	<?
30	$;<:
60	:,
93	>;,#
72	:>=
59	=<?!
44	/,<
101	%/
114	;=,$
3	!>
1	!?%
91	><?%
113	,:
87	;$?
98	;?
6	?%/#
115	/<>
20	=>,
73	=>,;
69	$,
28	>!
42	;,#:
56	:!/
12	?!>=
110	#<%
81	/=
32	;,<
50	$?#!
23	?%
19	?>=
29	<=/>
54	,#
53	/!:
104	>,#!
5	!,
96	%?<
10	%;:$
37	#:
26	:?#!

