var;1;2;3;4;5;6;7;8;9;10
1;"float;6.00";"12;4;3;5";"0;";"-14;-11;-8;-5;-2;1;4;4";"9;Z;5";0000;"4;5;6;";"3;54;6;71;9;";"17;1;13;";1 3 4 6
2;"bool;True";"6;2;3;1";"7;";"6;9";"3;8.0;1;5;9";0246;"4;5;6;";"0;31;6;84;6;25;6;";"14;1;13;";1 2 4 5 6
3;"float;10.67";"10;5;6;7";"9;";"6;6";"6;False;2;7;1";5;"4;2;6;";"3;14;";"11;2;13;";2 3 4 5 6
4;"float;0.25";"Z;8;0;5";"1;";"9;8;end;-13";"8;7;6";[1, 2, 3];"4;5;3;";"7;17;4;15;2;51;3;68;8;";"17;2;13;";1 2 3 4 5
5;"float;0.00";"Z;1;4;0";"8;";Z;"3;4;4;9;7";4680;"4;5;6;";Z;"12;2;13;";2 3 4 5 6
6;Z;"11;2;3;4";"5;";Z;"0;1;6;0;4";612345;"4;2;6;";"6;67;54;46;";"11;2;13;";1 2 5 6
7;"bool;False";"6;3;6;4";"-1;";"-7;-9;-11;-13;4;4";"2;Z;3";9;"4;5;6;";"1;(44, 8);(72, 0);(41, 5);";"14;Z2;13;";1 2 3 4 5
8;"bool;True";"6;4;5;3";"12;";"11;8;5;5";"9;7;4";0;"4;5;6;";Z;"12;2;13;";2 3 4 6
9;"f;f;-4";"Z;6;9;3";"6;";Z;"8;5;4";0864;"4;5;6;";"4;47;18;23;90;";"14;2;13;";1 5 6
10;"float;32.00";"Z;5;1;7";"2;";"-11;-8;-5;-2;1;10;10";"6;1;3;9;1";6;"4;5;3;";"5;(19, 4);(90, 0);(44, 1);(48, 2);(69, 4);";"11;2;13;";2 5 6
11;"int;0";"0;5;0;1";"10;";"3;5";"4;Z;2";[2, 3, 4];"4;2;6;";"4;11;84;67;";"12;2;13;";2 3 4 5 6
12;"float;94.50";"9;4;7;6";"10;";"13;10;7";"6;1;9";0000;"4;5;6;";"2;1;8;4;8;";"14;Z2;13;";1 2 3 4 6
13;"int;0";"9;1;8;3";"2;";Z;"3;True;0;2;5";[2, 3, 4];"4;5;3;";"3;47;4;77;3;";"11;2;13;";1 2 5 6
14;"bool;False";"7;1;0;5";"11;";-5;"8;1.0;7;1;9";[1, 2, 3];"4;5;6;";"7;8;0;";"17;2;13;";1 3 6
15;"f;f;False";"38;8;7;5";"6;";"1;1";"2;4;5;1;3";543216;"4;5;6;";"3;81;58;";"14;Z2;13;";1 2 3 4 6
16;"int;-4";"10;2;4;3";"7;";"-10;-8;-6;-4;-2;0;2;4;6;end;12";"8;9;6";246;"4;2;6;";"1;0;4;3;3;";"11;Z2;13;";1 2 3 5 6
17;"bool;False";"Z;8;5;2";"2;";"6;3;0;-3;7;7";"5;1;9;0;8";4;"4;5;6;";"5;45;31;74;13;11;";"17;1;13;";1 2 3
18;"bool;True";"12;7;5;2";"7;";Z;"7;Z;9";1;"4;5;3;";"3;37;30;38;";"17;1;13;";3 4 6
19;"f;False";"Z;1;2;6";"14;";"-5;-5";"0;1;0";6420;"4;5;6;";"6;4;4;6;";"11;Z2;13;";2 3 4 5 6
20;"bool;True";"10;5;6;0";"11;";"9;-7;-7";"5;0;9;7;3";5;"4;5;6;";"4;44;54;";"14;Z2;13;";2 3 6
21;"float;0.00";"Z;8;4;0";"12;";Z;"5;Z;0";654321;"4;5;6;";"6;(75, 8);(42, 7);(68, 4);(64, 7);";"14;Z2;13;";1 2 3 4 6
22;"bool;False";"9;0;8;3";"13;";Z;"9;6;1;3;5";[2, 2, 3];"4;5;6;";"3;4;6;2;";"11;Z2;13;";2 4 6
23;Z;"9;9;8;0";"0;";"-2;1;4";"2;1;3";0;"4;5;6;";"5;10;12;13;14;";"17;Z2;13;";2 5
24;"float;2.25";"Z;7;3;0";"9;";"14;12;10;8;6;-4;-4";"4;0.0;1;9;6";[1, 2, 3];"4;5;3;";"4;13;13;14;";"12;Z2;13;";1 2 4 5 6
25;"bool;False";"11;9;7;2";"4;";Z;"7;Z;0";0;"4;2;6;";"3;0;1;2;3;4;1;0;";"14;2;13;";1 2 4 5 6
26;"float;0.00";"15;7;5;3";"5;";"end;Z";"8;0.6666666666666666;7;8;5";[2, 2, 3];"4;2;6;";"5;27;5;35;9;31;7;";"17;1;13;";2 3 4 6
27;"bool;False";"13;0;9;6";"14;";Z;"6;4;3;7;2";1;"4;5;3;";"4;28;85;";"17;2;13;";1 4 5 6
