var;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;int;72;float;2.04;bool;False;bool;True;Af8;A4 9 2;A9;A10 1 7 2;A5 1 29 7 6;A34569
2;float;1.29;float;-0.50;bool;True;bool;False;AfFalse;A3 1 6;A2;A6 3 0 1;ERROR;A115
3;float;0.00;float;2.00;bool;True;bool;False;AffTrue;A0 7 3;A1;A12 6 7 2;AERROR;A80971
4;float;1.00;float;-0.11;bool;False;ERROR;ERROR;Aff4;A2 5 5;A8;A11 7 5 5;ERROR;A629
5;float;12.00;int;-2;bool;True;ERROR;ERROR;Aff-3;A0 6 0;A1;A6 3 2 1;A1 0 36 8 7;A357
6;float;0.86;float;9.00;bool;False;ERROR;ERROR;AffTrue;A1 1 1;A2;A12 9 1 5;A5 2 98 6 7;A432
7;int;0;int;0;bool;True;bool;True;AfFalse;A9 5 7;A5;A6 6 5 3;ERROR;A93.0135
8;float;20.25;float;0.00;bool;False;bool;True;Af3;A3 4 2;A8;A16 8 2 3;ERROR;A80126
9;int;30;float;4.00;bool;False;bool;False;Af0;A0 6 2;A1;A7 9 2 2;ERROR;A353
10;float;5.00;float;-1.00;bool;True;bool;True;AfTrue;A8 1 4;A0;A13 9 3 5;ERROR;A178
11;float;1.56;float;7.00;bool;True;ERROR;ERROR;Af-8;A4 9 7;A7;A7 0 1 4;A0 3 57 8 7;A913
12;int;0;float;0.33;bool;False;bool;True;AfFalse;A3 3 6;A4;A7 0 2 3;A0 4 27 6 8;A78624
13;float;0.56;float;1.00;bool;True;bool;False;AffTrue;A2 7 3;A7;AERROR;ERROR;A35ERROR
14;int;0;int;-1;bool;True;bool;True;Aff-7;A1 4 1;A9;A13 8 9 4;AERROR;A38102
15;float;126.00;float;3.00;bool;False;bool;False;Aff-1;A9 2 4;A6;A12 7 4 4;A0 4 99 6 8;A9True486
16;int;0;float;-1.75;bool;True;bool;False;AffFalse;A1 3 1;A2;A10 9 0 3;ERROR;A30976
17;int;0;float;0.00;bool;False;ERROR;ERROR;AffFalse;A8 0 0;A4;A8 8 3 4;ERROR;A158
18;float;2.67;float;0.50;bool;True;ERROR;ERROR;Af-3;A2 4 7;A5;AERROR;A1 1 46 7 8;A224
19;float;29.40;float;2.25;bool;True;ERROR;ERROR;Aff7;A2 7 8;A6;A7 8 1 0;AERROR;A06502
20;int;4;float;-18.00;bool;True;bool;False;AfTrue;A3 4 4;A7;A8 9 5 2;ERROR;A769
21;int;0;int;4;bool;True;bool;True;Aff-6;A5 4 6;A1;A10 1 2 4;A1 3 69 7 8;A476
22;float;72.00;float;-0.50;bool;False;ERROR;ERROR;AfTrue;A0 1 0;A4;AERROR;ERROR;A51.5293
23;float;0.90;float;-10.00;bool;True;bool;True;Af-7;A0 0 3;A6;A8 9 0 3;ERROR;A179
24;int;0;float;1.00;bool;True;ERROR;ERROR;AffTrue;A6 2 2;A9;AERROR;AERROR;A35487
25;int;63;float;0.00;bool;False;ERROR;ERROR;AfTrue;A5 6 4;A5;A21 8 7 4;A2 1 57 8 9;A104
26;float;2.00;float;1.00;bool;True;ERROR;ERROR;Af0;A3 1 3;A2;A11 3 5 6;AERROR;A5False715
27;float;1.94;float;-1.00;bool;True;bool;False;AfTrue;A7 2 3;A9;A10 3 6 5;ERROR;A06ERROR
