var;1;2;3;4;5;6;7
1;R 6;R 11 11 8 8;R5;R e;R [0];R ['0', '1', '2', '3', '4', '1', '0'];R ['0', '1', '2', '3', '4', 4, 5]
2;R 10;R;R1 2 3 4 5 6;R ERROR;R ();R 13 [10, 11, 12, 14];R [10, 11, 12, 13, 14]
3;R 4;R end 1 end 0 end -1 end -2 end -3 end -4 end -5 end -6;R0;R c;R ('3', '2', '1', '0');R 2;R ['1', '3', '3', '4']
4;R 9;R;R0 0 0 0;R ERROR;R 024;R [10, 11, 12, 13];R [10, 12, 13, 14]
5;R 0;R;R6 4 2 0;R ERROR;R ['9', '7', '5', '3'];R [10, 11, 12, 13, 14, '12'];R ERROR
6;R 11;R;R [1, 2, 3];R ERROR;R ['0', '3', '6', '9'];R ['0', '1', '2', [1, 2], '3', '4'];R ['0', '1']
7;R 0;R -5 -5 -2 -2 1 1;R [2, 3, 4];R a;R [4, 2, 0];R ['0', '1', '2', '3', '4', '1', '1'];R [10, '1', '0']
8;R 11;R;R [2, 3, 4];R ERROR;R (0, 2, 4, 6, 8);R [10, 11, 12, 13, 14, '13'];R []
9;R 5;R;R4 6 8 0;R b;R 98765;R ERROR;R ['1', '2', 10, 11, 12, 13, 14]
10;R 8;R;R5;R ERROR;R ('9', '6');R ERROR;R [2, 3, '3', '4']
11;R 7;R end 7;R0;R ERROR;R (5,);R 3;R ['0', '1', 1, 0, '2', '3', '4']
12;R -2;R;R4;R c;R ('9', '7', '5', '3', '1');R ['0', '1', '2', '3', '4', 1, 0];R [14]
13;R 0;R;R0;R ERROR;R ['9', '8'];R ['0', '1', '2', '3', [2, 3], '4'];R ['0', '1', '2', 15]
14;R 8;R;R [1, 2, 3];R b;R 0369;R [10, 11, 12, 13, 14, 4, 5];R []
15;R 14;R;R9;R 1;R [0, 2, 4];R ERROR;R ['1', '1', 10, 11, 12, 13, 14]
16;R 2;R;R0 0 0 0;R ERROR;R 10;R [10, 11, 12, 13, 14, 4, 5];R ['2', '3', '4']
17;R 12;R end 8;R [2, 3, 4];R d;R (2, 5, 8);R ['13', 10, 11, 12, 13, 14];R [1, 2, 10, 11, 12, 13, 14]
18;R 9;R;R1;R 4;R ();R 2 ['0', '1', '3', '4'];R ['0', '1', '2', '3', '4', 1, 0]
19;R 4;R;R [1, 2, 3];R ERROR;R [];R [10, 11, 12, 13, 14, '11'];R ['0', '1', '2', '3', '4']
20;R 7;R;R0 2 4 6;R 0;R ['0', '2', '4'];R ERROR;R [10, 11, 12, '1', '3']
21;R 11;R;R0 8 6 4;R ERROR;R ['6', '3', '0'];R 4;R ERROR
