var;1;2;3;4;5;6
1;set;3 3 8 7 5;;;0 4 5 3;0 5 4 5 ERR
2;dict;(28, 1) (51, 6) (20, 7) (53, 6) (12, 8);;;0 1 5 6;0 2 5 2 ERR
3;list;55 71 73 12 18;;;0 1 5 3;0 5 5 5 2
4;dict;34 7 45 0 52 1 20 3;;;0 4 5 6;0 5 4 5 ERR
5;dict;82 1 41 4 34 9 66 6 39 0;;;0 4 5 6;0 5 5 5 2
6;tuple;25 47 13 12;;;0 1 6 3;0 5 4 5 ERR
7;dict;58 35 76 24 55;;;0 4 5 3;0 5 4 5 ERR
8;dict;(28, 2) (34, 3) (44, 2);;;0 1 5 6;0 2 5 2 ERR
9;set;2 9 0 1 6;;;0 1 5 3;0 5 ERR
10;list;71 4 57 1 87 8 81 9;;;0 4 5 6;0 5 5 5 2
11;dict;46 28 88 14;;;0 1 5 6;0 2 5 2 ERR
12;list;53 2 19 8 13 8;;;4 1 5 3;0 5 4 5 ERR
13;list;10 9 31 9 28 9 67 8;;;4 1 5 6;0 2 5 2 ERR
14;set;11 88 40;;;0 1 6 3;0 5 ERR
15;dict;88 5 81 6 84 2 42 3 39 3;;;0 1 5 6;0 2 5 2 ERR
16;set;(75, 4) (53, 4) (71, 4) (85, 8);;;0 4 6 3;0 5 4 5 ERR
17;tuple;0 8 4 1;;;4 1 5 6;0 5 ERR
18;list;32 43 26 38 35;;;0 1 6 3;0 2 5 2 ERR
19;dict;10 51 55 33 85;;;0 4 5 6;0 5 4 5 ERR
20;list;9 7 5 7;;;0 1 6 3;0 5 5 5 2
21;dict;10 2 32 8 74 0 20 7;;;0 4 5 6;0 2 5 2 ERR
22;dict;63 3 82 6 48 6 58 2;;;0 1 6 3;0 5 4 5 ERR
23;dict;(37, 4) (39, 7) (75, 1) (72, 6) (77, 4);;;4 1 5 6;0 2 5 2 ERR
24;dict;57 39 30 55;;;0 1 5 3;0 5 ERR
25;tuple;52 0 55 9 21 9 36 5 67 5;;;0 1 5 6;0 5 4 5 ERR
26;set;55 19 22 53 11;;;4 1 6 3;0 2 5 2 ERR
27;set;(68, 9) (31, 4) (11, 6);;;0 1 5 6;0 5 ERR
28;dict;3 1 5 4;;;0 4 6 3;0 5 5 5 2
29;set;87 35 54 39;;;0 1 5 3;0 2 5 2 ERR
30;set;30 1 71 2 10 6 37 4;;;4 1 5 6;0 5 4 5 ERR
31;tuple;6 5 7 9 2;;;0 1 6 3;0 5 4 5 ERR
32;list;34 8 13 9 22 0 69 2;;;4 1 5 6;0 2 5 2 ERR
33;dict;(25, 0) (37, 4) (69, 3);;;0 4 5 6;0 5 5 5 2
34;list;75 69 43 41;;;0 1 5 3;0 5 4 5 ERR
35;set;52 37 70 31;;;4 1 5 6;0 5 ERR
36;list;25 6 44 3 55 3;;;0 1 6 3;0 2 5 2 ERR
37;list;0 6 0 4;;;4 1 5 6;0 2 5 2 ERR
38;list;14 34 84 31;;;0 1 6 3;0 5 ERR
39;set;89 53 80 30;;;0 4 6 3;0 2 5 2 ERR
40;dict;68 3 38 2 27 9 87 8;;;0 1 5 6;0 5 4 5 ERR
41;dict;(63, 3) (57, 0) (65, 0) (46, 3) (18, 4);;;4 1 5 3;0 5 4 5 ERR
42;dict;77 4 81 3 83 1 70 1;;;0 1 5 6;0 5 5 5 2
43;dict;10 41 58;;;0 4 6 3;0 5 5 5 2
44;dict;(38, 2) (40, 9) (48, 4);;;0 1 5 6;0 5 4 5 ERR
45;tuple;29 7 53 3 63 7 66 2 55 9;;;0 1 5 6;0 2 5 2 ERR
46;dict;2 0 5;;;0 4 5 3;0 5 4 5 ERR
47;dict;43 70 48;;;4 1 5 6;0 2 5 2 ERR
48;list;47 1 20 1 87 3 50 8;;;0 1 6 3;0 5 ERR
49;set;42 6 89 4 64 2 84 4;;;4 1 6 3;0 2 5 2 ERR
50;tuple;(32, 5) (59, 8) (68, 9) (38, 8) (84, 0);;;0 1 5 6;0 5 ERR
51;set;48 71 21 25;;;0 4 5 6;0 5 4 5 ERR
52;list;7 5 9 6;;;0 1 5 3;0 2 5 2 ERR
53;dict;12 3 71 9 22 6 35 2;;;0 4 6 3;0 5 5 5 2
54;dict;90 82 72 46;;;0 1 5 6;0 5 4 5 ERR
55;dict;81 72 48 55;;;0 4 5 6;0 5 4 5 ERR
56;list;0 6 8 8;;;0 1 6 3;0 2 5 2 ERR
57;set;(32, 4) (11, 4) (14, 8) (21, 1) (86, 3);;;0 1 5 6;0 5 ERR
58;list;56 1 28 2 27 8 76 4 80 4;;;0 4 5 3;0 5 5 5 2
59;list;38 7 63 0 45 0 82 0 18 0;;;0 4 5 6;0 5 4 5 ERR
60;dict;31 41 10 40 83;;;0 1 6 3;0 2 5 2 ERR
61;set;(65, 0) (27, 4) (88, 6) (85, 8) (31, 8);;;0 1 5 3;0 2 5 2 ERR
62;dict;16 68 43 40 72;;;4 1 5 6;0 5 ERR
63;tuple;75 1 56 1 63 1 47 9 64 1;;;0 4 6 3;0 5 4 5 ERR
64;set;28 83 71 45 72;;;0 1 5 6;0 2 5 2 ERR
65;tuple;64 0 50 3 62 3 14 8 76 9;;;0 1 6 3;0 5 4 5 ERR
66;dict;3 4 2 2;;;4 1 5 6;0 5 5 5 2
67;set;5 7 1 1;;;0 1 6 3;0 2 5 2 ERR
68;dict;90 1 55 9 46 5 26 4 41 1 75 6;;;0 4 5 6;0 5 ERR
69;dict;56 6 21 2 42 2;;;0 1 6 3;0 5 4 5 ERR
70;dict;(80, 0) (47, 1) (35, 8) (88, 5) (77, 9);;;4 1 5 6;0 5 5 5 2
71;dict;83 66 34 29 25 21;;;0 1 5 6;0 2 5 2 ERR
72;list;81 42 32 67;;;0 4 5 3;0 5 4 5 ERR
73;set;62 9 88 9 78 9 47 2;;;0 1 5 3;0 2 5 2 ERR
74;list;85 3 79 9 29 7 18 0;;;4 1 5 6;0 5 ERR
75;set;19 41 27 61;;;4 1 5 3;0 5 4 5 ERR
76;tuple;31 20 10 29 72;;;0 1 5 6;0 2 5 2 ERR
77;dict;8 6 9;;;0 1 5 3;0 5 ERR
78;dict;(15, 6) (23, 0) (22, 3);;;4 1 5 6;0 2 5 2 ERR
79;set;85 73 33 12;;;0 1 5 6;0 5 4 5 ERR
80;list;36 5 19 9 73 5 85 4 33 5 18 4;;;0 4 6 3;0 2 5 2 ERR
81;list;3 4 2 1;;;0 1 6 3;0 5 5 5 2
82;dict;18 55 30 26 50;;;0 4 5 6;0 5 4 5 ERR
83;dict;65 4 74 8 10 5 46 9 51 1;;;0 1 5 3;0 5 4 5 ERR
84;set;(26, 4) (54, 3) (27, 3) (51, 6);;;4 1 5 6;0 5 5 5 2
