var;1;2;3;4;5;6;7;8;9;10
1;0.0;-10.0;ffFalse;6;3 5 06 9 8;error;29438;3;0 0;R 0
2;7.0;-0.1111111111111111;f-2;8;4 2 77 8 6;14 3 9 2;140;-3;-8 -5 -2;R 0 8 6 4
3;0.0;0.0;fFalse;8;error;error;71358;6;-1 -1;R 0 0 0 0
4;25;True;f-3;9;error;9 5 6 1;9False345;2;6 6;R 5
5;7;4.0;ff-7;9;5 1 57 6 8;16 7 4 8;291;11;-8;R 5 4 3 2 1 6
6;129.6;False;fTrue;3;error;20 2 8 3;04697;4;7;R 1
7;0;True;ff6;7;error;error;250;10;3;R 6 1 2 3 4 5
8;2.3333333333333335;False;ffFalse;4;error;error;495;9;-5;R 4 6 8 0
9;0;False;ffFalse;4;0 3 17 9 6;10 5 4 8;4False272;7;-3 -3;R 0
10;0.0;False;ff1;8;error;error;98145;2;9 9;R 0 2 4 6
11;36;True;ffFalse;8;5 4 36 7 9;9 7 8 4;203;5;-2 -4 -6;R 5
12;1.5;1.0;ff2;5;error;7 1 7 4;92582;9;9 9;R 0
13;0.0;True;ff-9;3;0 9 18 6 7;6 6 5 1;545;13;3;R 4
14;20.0;False;fTrue;5;error;error;83176;8;4 4;R 1 2 3 4 5 6
15;0;True;ffTrue;5;3 1 48 7 6;9 7 1 9;9True301;6;4 5 5;R 0 0 0 0
16;10.285714285714285;-2.25;ff9;4;error;error;98506;0;7 7;R 6 5 4 3 2 1
17;7.199999999999999;4.0;ffFalse;4;error;13 0 9 2;5False893;5;1;R 1
18;0;-0.962962962962963;ff-1;9;2 0 29 6 9;7 5 3 1;487;4;end end 6;R 6
19;0.75;True;f6;1;error;error;03167;10;0 0;R 6 4 2 0
20;6.666666666666666;-0.75;fFalse;3;1 5 78 8 9;error;294;4;-4;R 9
21;6.666666666666667;True;f3;6;error;10 5 6 1;486;14;-7;R 4
22;0;False;fFalse;9;error;6 7 5 3;5True220;2;7 7;R 0 0 0 0
23;0.375;1.0;f-7;3;5 1 48 7 9;5 2 4 5;93562;8;2 1 0;R 6 5 4 3 2 1
24;0;6.0;ffTrue;1;error;error;53340;7;0;R 1
25;1.6666666666666667;True;ffFalse;2;3 5 48 6 7;24 8 7 4;85error;4;9 10;R 5
26;84;True;f4;1;error;9 8 0 2;329;7;0 0;R 5
27;5;-18.0;ffFalse;4;error;error;31540;-1;end -5;R 0
28;0.0;0.0;ff2;1;error;19 5 9 4;60340;-2;-7 -5 -5;R 6
29;30.0;-1.0;ffTrue;4;2 0 58 9 7;5 2 3 5;1False518;5;7;R 4 6 8 0
30;0;-3;ff4;3;2 3 16 7 9;error;930;0;6;R 6 4 2 0
31;0.0;True;fTrue;2;error;11 2 8 3;01786;12;error;R 9
32;7.0;255;ff2;4;error;11 7 2 2;160;10;3;R 0
33;0;True;fFalse;2;error;15 8 9 3;341;6;end 2;R 1
34;0.0;True;f8;8;error;error;3True456;7;6 5 4 4;R 6 1 2 3 4 5
35;1.09375;False;ff9;0;2 3 19 8 6;error;08653;-1;-3 0 6;R 0 0 0 0
36;27;True;fTrue;6;error;9 9 3 6;217;15;-9;R 0 8 6 4
37;0;-1;f6;2;error;6 0 2 1;69451;11;error;R 1 2 3 4 5 6
38;2.7;8.0;ffTrue;8;3 0 58 7 6;error;31error;6;17 17;R 0 2 4 6
39;16.0;1;ff0;4;4 1 26 7 9;12 9 1 3;62417;5;end 6;R 0
40;7;False;fTrue;8;3 2 78 9 6;8 8 4 1;3True065;3;6;R 5 4 3 2 1 6
41;2.6666666666666665;-1.0;ff-4;2;5 4 19 6 7;error;5False804;8;10 10;R 0 2 4 6
42;0.0;0.3333333333333333;ffTrue;1;error;9 8 9 3;734;5;8;R 0
43;0.0;False;ff-8;0;3 4 27 6 9;error;67014;12;3 5;R 9
44;90;-0.75;fTrue;5;error;error;917;12;12 12;R 1
45;0.0;False;f1;7;error;6 5 9 8;31741;10;-4 -5 -6 -7;R 1
46;0.0;True;ffFalse;5;0 4 18 7 8;error;21error;5;end error;R 6 1 2 3 4 5
47;8.0;True;ff7;1;error;error;81249;1;6 7;R 0 0 0 0
48;3;-0.5;ffFalse;8;error;error;0False195;3;-1 -1;R 6
49;0.0;1.9876543209876543;fFalse;3;error;0 1 8 6;00error;8;1;R 5
50;40.5;2.0;f5;4;4 2 98 7 6;11 4 0 2;68937;0;14 14;R 4 6 8 0
51;5;-1.8888888888888888;ff-4;7;error;error;7False596;6;error;R 1 2 3 4 5 6
52;0.0;-3.0;ffFalse;1;error;8 9 7 4;31230;12;-2;R 4
53;0.0;6;ff1;6;error;10 6 0 7;613;10;error;R 5
54;1.2000000000000002;False;fTrue;2;error;8 0 1 2;42570;8;-10 -10;R 6 5 4 3 2 1
55;3.1111111111111107;-81;ff2;3;5 3 16 8 9;9 6 3 9;885;13;8 10 12 14;R 0
56;21;0.25;ffFalse;4;error;error;20198;10;-7 -7;R 0
57;0.0;False;ffTrue;9;5 5 06 9 7;error;751;9;error;R 0 0 0 0
58;0;1.0;f6;9;error;error;2False074;11;12 14 14;R 0 8 6 4
59;0.0;True;ff8;5;error;19 2 9 5;866;5;6;R 5 4 3 2 1 6
60;70.0;2.0;fTrue;0;error;10 1 4 9;00743;7;13;R 6 4 2 0
61;16;True;fTrue;7;error;16 9 5 0;10246;6;3 5 7;R 6
62;0.0;False;ff-2;8;error;10 6 3 3;595;9;6 6;R 6 1 2 3 4 5
63;0;0.5;fTrue;9;error;6 0 6 1;7True606;8;end 4;R 9
64;2.041666666666667;True;ff2;4;0 5 17 8 6;error;92547;13;1;R 5
65;0;9.0;ff-6;2;0 3 48 7 6;error;353;2;0;R 5
66;24.0;4.0;ffTrue;7;error;43 8 4 2;10220;4;-2 0;R 4 6 8 0
67;5;-1.0;ff-5;0;error;4 8 2 3;6True917;0;6;R 0
68;1.2;False;fTrue;2;error;18 7 3 1;32error;13;7 8 8;R 4
69;0.0;True;ff1;3;error;14 5 4 1;76556;12;0 0;R 0 0 0 0
70;0.0;-2;fTrue;1;error;error;041;14;1;R 1
71;2.8571428571428568;True;ff3;5;0 2 58 9 7;error;04695;0;-5 -6 -8;R 0
72;0;True;ffTrue;6;4 3 16 7 8;7 1 0 6;384;8;error;R 1
73;9.0;0.2222222222222222;fFalse;4;error;9 5 7 4;031;6;end -9;R 6 5 4 3 2 1
74;0.7777777777777777;False;f-3;8;0 5 39 8 6;13 1 6 3;0False348;6;-1 -2 -3;R 0 2 4 6
75;0;True;fTrue;7;5 3 77 9 6;14 3 2 6;74850;6;8 6 4;R 0
76;0.0;True;ff7;5;error;error;672;7;-8 -8;R 0 0 0 0
77;12;False;fTrue;3;0 5 48 6 9;7 8 6 4;4False903;2;-9 -11 -13;R 0 8 6 4
78;11.666666666666668;True;ff3;6;0 4 28 9 6;9 2 0 1;56379;2;1 1;R 6 4 2 0
79;0.0;1.0;f-6;5;error;error;21810;7;-6;R 5 4 3 2 1 6
80;0.0;-2.0;fFalse;4;error;error;765;6;end end -2;R 1 2 3 4 5 6
81;0;2.0;f0;8;5 1 27 6 8;8 9 8 6;1False458;11;-9 -11 -11;R 0 0 0 0
82;0.625;False;fTrue;1;error;error;07916;10;14 14;R 0 0 0 0
83;22.5;-1.0;ff-9;0;4 1 76 9 8;9 7 8 4;70935;9;error;R 5 4 3 2 1 6
84;3;6.0;fTrue;0;error;7 3 4 0;940;-1;4;R 6 5 4 3 2 1
85;8;True;ff-3;7;3 1 27 8 9;error;874;3;0;R 6 1 2 3 4 5
86;40.5;1.0;fTrue;4;error;12 9 5 2;166;1;8 11 14;R 1 2 3 4 5 6
87;0;-0.984375;fFalse;7;error;error;32785;4;12 12;R 0
88;0.6;0.8888888888888888;ff-3;1;0 4 86 7 9;error;074;12;11 11;R 0 8 6 4
89;40;0.0;fFalse;1;error;error;01971;14;0;R 4
90;0.0;True;f-6;2;error;11 5 6 3;0False645;0;-11 -11;R 1
91;0;-3.0;fFalse;6;error;9 0 3 1;587;4;-3 -3;R 0
92;1.125;False;f7;7;0 4 87 7 9;9 2 9 5;4False934;13;4;R 9
93;0;0.5;ffFalse;9;5 0 47 6 8;error;10567;9;error;R 1
94;7.0;False;ff5;2;error;6 1 0 4;19045;4;2 5 11;R 6
95;28.0;3.0;ffFalse;6;1 2 36 7 8;11 6 5 3;872;13;4;R 5
96;1.25;False;ff-7;4;error;error;43529;2;1 -1 -3;R 0
97;0;True;f6;6;5 2 38 9 7;error;8False561;7;-9 -11 -13;R 4 6 8 0
98;10.285714285714285;True;fFalse;3;error;error;783;9;-3;R 5
99;0;-0.75;ff7;4;5 0 48 7 6;7 9 0 7;471;8;-3 -3;R 6 4 2 0
100;2.25;False;fTrue;8;error;error;50379;9;end end 11;R 0 2 4 6
101;0;-0.6666666666666666;ff8;3;error;12 1 0 4;182;11;-7;R 0
102;28.8;1.0;fFalse;4;5 1 77 9 8;error;6False350;0;16 16;R 9
103;0;True;ffTrue;2;error;13 7 4 6;385;13;-3;R 4 6 8 0
104;0.75;-2.0;f2;7;error;error;80072;2;-8 -9;R 6 4 2 0
105;106.66666666666666;False;f3;2;error;8 9 4 9;91927;8;10 10;R 0 2 4 6
106;0;True;ffFalse;9;4 1 56 8 9;13 7 3 3;355;1;end 11;R 0
107;0;3.0;ffFalse;7;error;1 2 4 9;2True087;4;error;R 0 8 6 4
108;0.6530612244897959;True;ff7;9;error;error;47960;7;-8;R 5 4 3 2 1 6
109;6;True;f-4;5;1 3 09 8 6;9 2 8 5;51872;7;end end 2;R 1 2 3 4 5 6
110;15.75;True;fFalse;1;error;7 0 5 1;85error;9;16 16;R 6
111;0.0;-80;ff6;6;error;error;8False170;13;-8;R 6 5 4 3 2 1
112;1.0;True;ffTrue;8;2 0 26 9 8;error;915;5;-6;R 5
113;47.25;-4.0;ff0;7;1 3 56 8 7;11 6 2 1;73423;11;2 2;R 6 1 2 3 4 5
114;0;0.0;fTrue;0;4 7 08 9 6;error;26509;-2;-7 -8 -8;R 1
115;0;0.25;f-1;4;error;7 2 6 3;440;0;-5 -5;R 5
116;1.1428571428571428;18.0;fFalse;5;error;error;860;7;-8 -5 -5;R 1
117;1.1666666666666665;5;ffTrue;3;error;error;62725;9;0 3 6;R 0
118;0;False;f8;1;error;8 6 3 7;36415;6;-1 -1;R 4
119;0;False;f1;6;3 5 68 7 9;30 8 5 1;7False260;13;-6;R 0 0 0 0
120;3.125;True;ffTrue;9;error;11 7 5 5;245;8;-1 -3 -5;R 0 0 0 0
121;19.200000000000003;True;ff3;7;error;error;15274;7;2 4 6 8;R 6 5 4 3 2 1
122;0.0;True;ffFalse;2;error;error;065;6;-1 -1;R 0 0 0 0
123;24;False;ffFalse;5;2 0 17 8 6;7 9 8 4;37802;11;5;R 0 2 4 6
124;0.0;False;f-5;1;error;10 2 9 4;1False607;4;end end 1;R 1
125;0;True;ffFalse;3;error;12 0 8 4;371;11;8 9 9;R 0 8 6 4
