додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, вилучити елемент, додати елемент~5, додати елемент~6, вилучити елемент, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, вилучити елемент, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, додати елемент~4, вилучити елемент, вилучити елемент, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, додати елемент~5, вилучити елемент, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, додати елемент~5, вилучити елемент, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, додати елемент~4, вилучити елемент, вилучити елемент, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, додати елемент~4, додати елемент~5, вилучити елемент, вилучити елемент, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, вилучити елемент, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, додати елемент~5, вилучити елемент, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, додати елемент~3, вилучити елемент, вилучити елемент, додати елемент~6, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, додати елемент~5, вилучити елемент, вилучити елемент, додати елемент~8, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, додати елемент~5, додати елемент~6, вилучити елемент, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, додати елемент~7, вилучити елемент, вилучити елемент 

додати елемент~1, додати елемент~2, вилучити елемент, додати елемент~4, вилучити елемент, додати елемент~6, додати елемент~7, вилучити елемент, вилучити елемент 
