var;1;2;3;4;5;6
1;error;11 9 4 5;22;-1;9 9;6
2;2 0 9 6 9 8;18 0 6 3;44;3;10 2 2;0 2 4 6
3;error;8 1 2 2;20;10;error;5 4 3 2 1 6
4;0 4 2 9 6 7;error;4;7;error;0 0 0 0
5;1 1 5 7 9 8;7 4 7 9;40;7;1 4 -8 -8;5
6;error;18 7 2 3;21;8;13 error;1 2 3 4 5 6
7;error;error;23;2;-7;1
8;error;13 5 6 5;43;13;13 error;1
9;error;error;8;9;-6 -6;0
10;error;error;24;8;error;4
11;error;9 7 8 2;25;6;error;9
12;error;8 0 5 9;42;11;-8 -8;0
13;4 0 3 6 7 8;8 8 3 7;43;6;error;5
14;3 1 9 9 7 8;error;20;1;8 -3 -3;6 4 2 0
15;error;10 0 3 8;41;12;-9 -7 -5 -1 -1;6 5 4 3 2 1
16;2 5 1 6 7 9;4 7 1 5;25;0;error;0 8 6 4
17;error;error;False;5;error;6 1 2 3 4 5
18;error;25 5 0 7;21;1;2 4 13 9;0 0 0 0
19;error;8 8 7 4;23;12;error;4 6 8 0
20;error;error;6;6;13 6;0
21;error;error;33;12;-2 -6 -6;0 0 0 0
22;3 0 2 6 7 6;10 9 8 5;24;-1;error;4
23;5 4 0 6 9 7;error;2;6;-5 -2 -9 -9;5 4 3 2 1 6
24;error;8 7 3 3;22;11;error;0
25;error;7 7 1 2;4;0;error;0
26;5 1 3 7 8 6;8 1 2 3;20;4;error;6 1 2 3 4 5
27;error;8 2 1 4;24;7;13 0;0 8 6 4
28;2 7 1 9 8 6;error;31;8;9 12 -5 -5;6
29;error;28 1 5 3;22;0;10 10;0 0 0 0
30;error;error;0;13;error;1
31;4 0 3 8 6 9;13 7 9 4;45;12;error;1 2 3 4 5 6
32;error;8 8 2 4;25;6;5 8 -6 -6;1
33;2 5 3 7 8 9;7 0 8 2;21;5;error;4 6 8 0
34;error;6 5 4 6;4;9;-9 -9;9
35;error;error;23;9;error;0 2 4 6
36;4 0 1 9 8 7;6 0 5 1;44;7;-7 -5 13 6;6 5 4 3 2 1
37;error;error;42;9;error;5
38;error;error;22;2;13 error;0
39;error;error;20;3;1 3 5 5 5;5
40;0 4 2 9 9 8;6 4 8 0;6;14;-6 -3 8 8;6 4 2 0
41;error;error;23;9;3 5;0 8 6 4
42;1 0 2 8 9 6;error;35;12;7 10 0 0;0
43;error;8 1 7 3;24;5;13 error;1
44;error;12 7 2 5;False;5;error;0 0 0 0
45;error;31 5 9 4;3;5;error;5
46;3 3 0 8 6 9;7 0 8 4;21;11;2;6 5 4 3 2 1
47;error;15 6 5 4;25;9;-7 -2 -2;5
48;5 4 9 8 7 6;4 9 1 1;33;14;error;0 2 4 6
49;error;9 2 4 2;21;7;-8 13 -6;6 1 2 3 4 5
50;error;error;error;1;-5 -5;1
51;error;error;23;2;error;0
52;error;1 0 4 1;8;7;error;0 0 0 0
53;error;8 0 9 7;45;13;error;6 4 2 0
54;error;5 1 2 5;25;1;5 -7 -7;6
55;error;error;6;7;9 12 0 0;4 6 8 0
56;5 4 2 6 9 7;23 4 7 3;24;14;error;9
57;error;6 0 5 8;22;0;error;1 2 3 4 5 6
58;3 0 6 6 7 9;7 3 1 4;error;1;13 -7;5 4 3 2 1 6
59;error;13 6 9 5;20;7;error;4
60;error;12 6 2 3;6;6;-6 -4 -2 -5 -5;0
61;error;2 0 1 8;22;6;-4 3 3;5
62;error;13 9 5 3;5;9;error;6 5 4 3 2 1
63;error;error;44;5;error;9
64;2 2 4 8 9 7;error;24;10;8 10 13 6;6 4 2 0
65;error;10 7 0 1;25;6;-10 -3 -3;0
66;error;error;30;8;error;1 2 3 4 5 6
67;error;10 3 6 9;7;9;1 3 1 1;0 2 4 6
68;error;7 8 2 2;20;1;13 error;4 6 8 0
69;error;error;True;12;4 6 8 -6 -6;5 4 3 2 1 6
70;0 4 1 7 8 6;error;21;13;8 8;6
