var;1;2;3;4;5;6
71;0 1 5 7 6 8;33 4 7 3;44;-1;-7 -5 8 8;4 6 8 0
72;2 3 4 7 9 8;error;23;7;-6 -6;5 4 3 2 1 6
73;error;15 8 5 5;22;0;error;5
74;3 1 5 6 7 8;10 6 2 8;True;0;13 error;0 0 0 0
75;1 2 9 8 9 7;10 0 1 5;3;11;-10 -7 -1 -1;6 4 2 0
76;4 5 6 8 7 6;18 9 7 4;20;3;2 2;1
77;error;13 2 6 3;25;14;error;6
78;error;7 8 9 2;41;5;error;5
79;2 1 0 9 8 6;8 4 6 5;24;9;error;0
80;error;error;1;6;error;6 1 2 3 4 5
81;error;9 6 0 3;42;1;1 3 5;1 2 3 4 5 6
82;error;error;21;6;7 10 13 3;1
83;error;error;20;6;2 2;0 0 0 0
84;1 4 3 7 8 9;6 1 0 1;0;6;3 6 6;6 5 4 3 2 1
85;error;9 9 8 1;24;10;13 error;0 8 6 4
86;4 5 9 6 8 7;17 6 7 3;7;11;error;0 2 4 6
87;error;5 1 7 3;22;8;-5 -5;4
88;error;11 9 6 2;34;13;-8;0
89;error;error;23;7;error;9
90;error;8 0 2 1;30;6;error;0
91;error;error;1;12;-9 -2;6 5 4 3 2 1
92;0 2 1 6 9 8;16 6 5 2;25;8;13 error;9
93;error;4 2 9 7;9;7;error;0 0 0 0
94;1 2 5 6 7 8;8 8 6 3;21;10;2;6 4 2 0
95;error;7 7 5 3;23;6;1 -7;0 2 4 6
96;error;error;error;-1;error;1
97;3 2 4 9 6 7;16 8 2 5;25;9;error;0
98;0 5 6 8 9 7;3 3 0 1;42;-1;-4 -1 -5 -5;5
99;1 4 7 6 9 8;5 9 1 3;20;14;13 error;4
100;error;8 0 5 7;43;6;-1 1 3 8 8;0 8 6 4
