var;1;2;3;4;5;6;7;8
1;[];8 3 8 2;0 5 4 5 ERR;;-10;;8 0 1 10 3 2 11 7 6 4 9 5;1 2 3
2;[];[10, 11, 12, 13, '1', '1'];0 5 5 5 2;;8;;0 9 8 3 10 5 6 2 7 4 1;1 2 3 5 6
3;empty;75 69 43 41;0 5 4 5 ERR;;-5;;6 8 4 11 10 1 3 0 9 2 7 5;2 5
4;b;(28, 1) (51, 6) (20, 7) (53, 6) (12, 8);0 2 5 2 ERR;;1;;2 0 10 7 1 6 5 3 9 8 4 11;2 4 5 6
5;b;['0', '1', '2', '3', [4, 5]];0 5 4 5 ERR;;1;;6 7 3 0 11 5 8 2 1 10 4 9;3 4
6;0;46 3 48 6 74 4 79 3;0 5 5 5 2;;1;;9 0 1 7 8 5 3 4 6 2 10;3 4 5 6
7;error;23 24 48;0 4 5 3;;4;;5 7 0 9 3 4 10 8 6 1 2;1 6
8;error;82 5 31 9 13 7;0 5 4 5 ERR;;-6;;3 2 10 6 0 5 4 9 1 7 8;1 2 3 4 5
9;e;4 0 4 3 9;0 1 5 3;;-2;;3 7 9 6 0 1 2 8 5 4 10;1 4 5 6
10;error;71 4 57 1 87 8 81 9;0 5 5 5 2;;5;;8 5 1 9 10 7 3 0 4 6 2;2 4 6
11;('0', '2', '4', '6', '8');60 1 54 1 15 9 42 1;0 2 5 2 ERR;;7;;9 10 2 3 4 11 5 8 0 1 7 6;1 2
12;1;63 57 65 46 18;0 1 5 3;;3;;8 7 6 3 10 1 2 5 9 0 4;4 5 6
13;();90 64 86 37;4 1 5 3;;2;;10 1 11 0 9 5 2 6 8 4 3 7;2 3 5 6
14;error;(16, 9) (68, 8) (43, 9) (40, 5) (72, 0);0 1 5 3;;-7;;9 3 2 6 10 11 8 0 7 1 4 5;2 5 6
15;b;[1, 2];4 1 5 3;;2;;4 0 7 9 3 10 11 1 5 2 8 6;1 2 4 5 6
16;error;[[1, 2], '0', '1', '2', '3'];0 1 5 3;;8;;9 1 4 8 5 3 10 6 2 7 0;2 4
17;0;[];0 4 5 3;;-2;;6 5 10 8 3 0 4 9 11 1 2 7;1 2 4
18;0;[1, 0, '0', '1', '2', '3'];0 5 4 5 ERR;;-4;;10 2 3 7 4 9 5 1 8 6 0;1 3 4 5 6
19;('1', '0');(28, 0) (17, 0) (58, 3) (38, 2);0 4 5 3;;-9;;8 6 5 2 1 4 7 3 10 0 9;1 5
20;[];1 7 6 1 4;0 1 5 3;;-1;;6 4 11 9 10 2 5 3 7 8 0 1;1 2
