var;0;1;2;3;4;5;6;7;8;9;10
100;0;44:a:9:a;1;f1;0;y;5;13:13:1:6:2:3:13:13;412:413:412:312:413;4:0:-3:8;10:9:7:0
101;0;-51:c:3:c;1;f1;1;s;2;3:3:0:6:4:9:9:3;415:615:413:413:415;9:5:2:5;21:3:9:6
102;0;1:d:9:d;1;ff1;1;t;3;10:2:1:2:4:3:10:2;314:314:312:312:514;32:24:6:0;12:2:2:4
103;150;-9:b:b:9;1;ff1;1;y;0;4:-1:0:1:6:3:3:-1;33:31:31:33:11;14:3:8:1;24:5:3:9
104;4;21:b:b:6;0;f1;0;o;7;5:4:0:0:9:7:5:4;31:33:33:33:31;20:4:9:1;18:6:2:0
105;0;-29:6:d:d;1;ff0;1;c;3;2:2:0:7:11:3:3:2;644:624:624:644:844;11:4:3:1;17:0:6:8
106;0;-118:c:c:8;1;ff0;1;q;2;8:5:0:8:4:2:2:5;30:31:30:3-1:3-1;7:5:1:8;14:3:0:1
107;1;21:6:c:c;0;f0;0;o;7;9:9:0:-1:4:9:9:9;44:42:42:44:22;23:16:5:1;8:7:2:3
108;30;c:c:6:7;1;ff1;0;f;6;7:7:0:5:5:8:8:7;411:211:413:411:413;5:2:1:7;15:5:8:0
109;86;56:c:c:8;0;f1;1;j;0;-4:-4:0:1:3:7:-4:-4;416:413:413:416:716;5:0:-2:5;9:7:2:1
110;15;61:c:7:c;1;ff0;1;d;5;12:12:1:3:8:6:12:12;443:413:443:413:743;21:10:8:1;13:4:0:6
111;0;b:4:b:-80;0;ff1;0;u;9;4:4:0:4:9:7:7:4;31:11:33:31:13;11:2:7:9;16:4:5:8
112;0;a:7:a:-33;1;ff1;1;g;5;8:8:0:1:2:4:8:8;22:42:22:44:42;35:6:1:1;4:5:4:0
113;64;6:b:b:5;1;f1;1;d;0;-3:5:1:3:1:2:2:5;00:00:01:01:0-1;16:7:2:2;15:3:6:5
114;0;8:d:d:23;1;f1;1;r;3;-3:-3:0:7:2:9:9:-3;13:33:13:11:11;1:1:1:3;18:2:3:6
115;0;-45:d:d:5;0;ff0;1;p;4;1:7:0:9:6:7:1:7;324:321:324:321:624;6:1:7:4;15:3:6:0
116;6;9:b:b:10;0;f1;1;a;8;1:1:1:0:2:8:8:1;433:413:433:413:633;14:2:4:4;23:0:9:1
117;0;6:4:a:a;0;f1;0;a;6;9:9:0:7:1:3:9:9;22:22:44:42:42;20:8:9:2;17:2:9:6
118;64;80:c:8:c;0;f0;1;j;7;14:3:1:8:7:1:14:3;44:44:42:42:22;25:1:18:2;8:7:1:7
119;1;-59:5:b:b;1;ff1;0;k;8;2:2:0:3:5:9:9:2;411:411:413:413:211;6:2:0:8;9:9:6:3
120;0;7:a:8:a;1;f0;1;z;7;14:14:0:7:4:6:14:14;416:413:413:416:716;16:8:13:1;13:9:4:8
121;120;-22:b:5:b;1;f1;0;b;6;2:2:1:5:2:4:4:2;31:33:13:11:31;50:23:2:7;7:3:8:1
122;4;c:c:3:21;0;f1;1;i;0;-6:-6:1:7:5:6:6:-6;644:844:624:644:624;10:9:8:1;10:6:8:5
123;0;22:a:8:a;0;ff1;0;s;5;6:6:0:-1:2:9:6:6;13:11:33:11:13;4:5:1:4;12:9:9:2
124;86;a:6:a:7;0;f1;0;t;0;10:10:1:7:5:2:10:10;314:514:314:312:312;6:6:8:9;7:3:5:6
125;0;147:3:a:a;1;ff1;1;e;8;-3:-3:0:1:9:6:6:-3;31:33:31:33:33;24:8:21:1;7:1:6:5
126;0;51:c:3:c;1;ff0;1;i;9;1:1:0:7:3:5:5:1;00:0-1:01:00:01;22:6:0:6;16:4:6:5
127;0;-8:c:4:c;0;f1;0;q;5;3:8:1:-1:9:5:3:8;324:624:321:324:321;16:10:7:5;19:1:4:0
128;0;-62:3:b:b;1;f0;0;o;6;15:15:1:9:5:1:15:15;30:3-1:30:31:3-1;6:1:8:6;13:6:5:3
129;0;95:a:5:a;0;f1;1;h;5;2:5:0:4:5:2:2:5;433:633:433:413:413;39:4:3:0;7:0:9:8
130;0;b:b:8:74;1;ff1;0;e;4;7:9:0:4:8:6:6:9;443:743:413:443:413;6:1:8:4;12:9:7:0
131;0;-36:6:d:d;1;ff1;1;x;7;-6:-6:1:7:8:2:-6:-6;412:412:413:312:413;35:28:2:3;17:0:4:2
132;0;-31:d:5:d;1;ff1;1;f;2;2:-8:1:7:6:1:2:-8;415:615:415:413:413;11:5:0:8;11:9:3:5
133;0;103:4:d:d;0;f1;0;i;3;11:6:0:7:4:5:5:6;33:11:31:33:31;8:6:4:5;11:0:7:5
134;1;d:d:6:21;0;ff1;1;a;5;5:5:0:2:3:1:1:5;324:321:321:624:324;6:9:0:2;10:3:4:9
135;3;78:8:b:b;1;f1;0;n;7;13:13:1:5:6:2:13:13;314:514:312:314:312;14:2:3:5;9:9:0:1
136;0;-23:b:5:b;0;f0;1;k;9;3:14:0:1:5:4:3:14;00:01:0-1:00:01;6:1:4:1;20:5:8:1
137;3;-12:d:d:6;1;ff1;0;b;2;-5:9:1:8:5:3:3:9;33:31:31:33:11;12:9:0:5;14:9:2:8
