var;1;2;3;4;5;6;7;8;9;10
1;0.4761904761904762;6;True;False;False;fFalse;4;5 0 4 8 7 6;18 9 3 7;
2;128;1.9375;True;error;False;f-7;5;error;error;
3;0;-0.25;False;error;False;ff-4;1;error;15 4 3 0;
4;0.0;-0.75;False;True;True;fTrue;0;error;error;
5;0.0;-2.0;True;True;False;ffFalse;1;error;5 7 6 3;
6;0.0;1.0;False;False;False;ff0;7;4 5 3 9 8 6;7 3 0 5;
7;63;-6.0;False;True;False;ff3;9;error;error;
8;4.0;0.0;True;True;False;ffFalse;7;4 2 1 9 8 9;32 1 8 3;
9;41.99999999999999;-0.6666666666666667;True;False;False;ffTrue;0;0 5 9 8 7 6;3 5 4 0;
10;0;0.5;True;True;False;f-6;9;5 4 3 6 7 9;14 4 7 3;
11;14.0;-1.0;True;error;True;fFalse;3;error;13 1 5 2;
12;2.0;-10.0;True;True;False;f-1;8;0 1 2 9 6 8;11 2 9 6;
13;0;-1.0;True;True;False;ffTrue;0;error;11 7 4 2;
14;0.46875;1.0;False;True;False;f-5;8;error;error;
15;0;-1;False;error;False;ff2;7;error;error;
16;0.0;0.25;False;True;False;fTrue;5;error;6 2 5 8;
17;6.0;0.0;False;True;False;fFalse;7;3 1 5 7 8 6;8 9 2 4;
18;36;6.0;True;False;False;f3;3;error;10 7 4 6;
19;4.666666666666667;0.0;False;error;False;fFalse;8;error;error;
20;0;-0.984375;False;True;False;f-1;2;error;8 1 7 0;
21;0;-0.5;True;False;False;ffFalse;8;2 4 0 7 8 6;error;
22;1.875;1;False;error;False;ff8;7;1 3 3 9 9 7;error;
23;96;7.0;True;error;False;fTrue;8;0 5 8 9 6 7;16 2 5 7;
24;0.0;-2.0;False;error;False;ff7;4;error;6 3 9 1;
25;0.0;-81;True;False;False;ff-2;9;error;error;
26;0.0;-0.5;False;True;False;ffTrue;1;5 1 4 9 8 6;error;
27;24.0;-0.6666666666666667;False;error;False;f-4;0;1 2 0 7 8 6;error;
28;3;3.0;False;False;False;fFalse;7;error;error;
29;0;1.8888888888888888;True;True;False;ffFalse;0;error;11 8 6 1;
30;0.0;2.0;True;True;False;f-1;1;error;10 0 2 7;
31;44.800000000000004;255;False;True;False;f4;8;error;error;
32;0.0;1.0;True;True;False;ffFalse;8;5 1 3 6 9 7;11 0 9 4;
33;0.0;0;False;False;False;f-8;9;error;11 8 3 7;
34;1.125;0.75;True;True;False;fFalse;3;0 3 4 6 7 8;3 4 0 6;
35;0;0.2222222222222222;False;error;False;ff-2;4;2 5 4 9 6 7;error;
36;9.0;0.0;True;False;False;fTrue;3;3 2 8 8 7 9;error;
37;24.0;6.0;False;error;False;ffFalse;7;error;12 7 9 4;
38;0;3.0;True;error;False;f9;5;4 5 8 6 6 9;error;
39;6.666666666666667;-1.0;True;error;False;fFalse;7;1 0 3 7 8 9;7 5 3 1;
40;1.2000000000000002;2.015625;False;False;False;f-2;8;error;error;
41;0.5357142857142857;-2;False;True;False;f-3;3;error;15 4 6 0;
42;0;3;True;error;False;fFalse;4;4 3 6 8 9 7;error;
43;9;4.0;True;False;False;f9;6;error;24 6 0 5;
44;63.0;0.25;False;error;False;ffTrue;7;error;error;
45;0;6.0;True;True;False;ffTrue;9;0 4 5 6 8 7;29 0 6 2;
46;0.0;1.0;False;True;False;f-7;8;2 3 3 9 7 6;9 0 3 5;
47;2.1875;-1.0;True;error;False;ffTrue;6;error;6 4 0 5;
48;9;-1.0123456790123457;False;True;False;ff2;9;error;error;
49;16.0;1.0;True;True;False;f-4;7;1 2 0 6 8 9;9 7 8 3;
50;0;0.0;False;False;False;fFalse;4;error;5 3 0 7;
51;1.75;-0.1111111111111111;True;True;False;ffFalse;2;error;8 7 0 2;
52;0;2.125;False;True;False;ff-8;5;error;error;
53;0.35714285714285715;4.0;False;error;False;fTrue;0;error;30 7 6 5;
54;4;3.0;True;error;False;ff-7;2;3 5 0 9 8 9;11 1 6 7;
55;129.6;-17;False;True;False;fFalse;9;error;2 2 5 0;
56;0;6.0;False;error;True;f-1;6;error;6 0 1 5;
57;6.0;9.0;True;error;False;ffTrue;9;3 1 0 7 8 6;20 3 9 2;
58;0.0;-2.0;True;True;False;ff0;2;error;error;
59;0.0;0.0;True;False;False;ff3;3;4 0 0 8 9 7;error;
