var;1;2;3;4;5
1;37 1 8 3;43;11;13 error;4
2;8 1 3 7;22;13;error;6 1 2 3 4 5
3;error;24;5;-7 -5 -5 -5;0 2 4 6
4;error;error;2;8 11 5 5;5
5;error;32;1;error;0 8 6 4
6;12 6 0 5;23;7;error;6 5 4 3 2 1
7;10 4 7 8;21;2;9 12 2 2;1 2 3 4 5 6
8;9 0 5 5;42;0;-1 -2 -2;0
9;error;40;7;error;6
10;error;20;6;6 13 -3;0 0 0 0
11;error;45;6;error;0 0 0 0
12;6 5 7 4;25;4;0 2 -7 -7;9
13;error;3;15;error;0
14;error;24;0;error;5 4 3 2 1 6
15;14 4 4 2;21;6;10 -4 -4;5
16;10 0 5 4;44;8;7 -9 -9;6 4 2 0
17;9 6 7 1;20;10;13 error;1
18;error;41;11;-6 -4 3 3;4 6 8 0
19;error;40;13;4;0
20;10 5 6 4;23;8;13 error;1
21;error;22;7;-3 -1 1 8 8;6 1 2 3 4 5
22;10 8 7 4;43;7;-1 2 -2 -2;1 2 3 4 5 6
23;9 9 3 4;25;5;error;1
24;error;30;4;error;0 0 0 0
25;error;6;0;error;6
26;error;23;8;-5 13 -10;5
27;error;41;0;error;0 0 0 0
28;error;20;13;4 6 1 1;0
29;9 7 5 1;21;6;13 13;0 8 6 4
30;error;6;10;10 13 8 8;0 2 4 6
31;7 0 8 7;24;7;error;6 5 4 3 2 1
32;10 3 9 2;40;11;error;9
33;error;31;2;13 error;5
34;12 0 4 3;25;1;-9 -7 4 4;4 6 8 0
35;14 6 7 2;22;7;error;0
36;7 5 2 6;1;2;-5 -5;6 4 2 0
37;10 8 7 4;22;13;4 4;4
38;19 2 3 5;0;8;error;1
39;13 8 6 3;True;7;13 error;5 4 3 2 1 6
40;error;23;14;0 0;0
41;7 2 3 5;24;1;7 6 6;6 4 2 0
42;error;34;4;5 0 0;4 6 8 0
43;error;False;10;13 error;4
44;error;21;-1;error;1 2 3 4 5 6
45;9 7 7 1;25;8;1 4 4 4;6 1 2 3 4 5
46;7 6 1 3;6;4;error;0 0 0 0
47;12 5 4 2;20;7;0 2 5 5;5 4 3 2 1 6
48;error;3;3;error;5
49;error;20;2;error;0
50;9 8 9 6;1;7;5 7 9 9;0
51;error;40;5;6 9 8 8;6
52;error;21;12;13 error;6 5 4 3 2 1
53;error;25;13;error;9
54;14 1 7 4;41;12;error;1
55;6 9 4 1;1;8;10;0 8 6 4
56;6 1 9 5;22;9;-9 -7 -5 13 -3;0 2 4 6
57;error;23;7;-5 -5;1
58;error;error;11;error;5
59;error;44;7;error;0 0 0 0
60;9 5 3 1;24;-1;5 -9 -9;0
61;19 9 1 0;34;14;error;0 0 0 0
62;7 3 7 5;20;8;error;0
63;error;25;6;9 11 13 3 3;1 2 3 4 5 6
64;error;45;12;13 8;4
65;8 7 0 9;44;1;error;5
66;error;23;11;1 1;5 4 3 2 1 6
67;8 6 4 7;7;0;error;5
68;13 1 5 4;21;6;0 2 -5 -5;6 1 2 3 4 5
69;6 2 4 8;24;10;-7;6 4 2 0
70;26 7 9 1;41;12;13 error;4 6 8 0
71;10 9 6 5;9;10;error;0 2 4 6
72;error;22;8;-1 1 1;0
73;12 5 4 5;21;-1;error;6
74;error;2;7;7 9 -8 -8;0
75;33 6 9 5;45;11;-9 -9;0 0 0 0
76;error;20;8;error;1
77;error;44;3;2 13 3;6 5 4 3 2 1
78;9 3 6 2;23;14;-6;9
79;10 9 2 1;4;6;13 error;1
80;14 4 9 2;22;13;error;0 8 6 4
81;error;error;3;3;1 2 3 4 5 6
82;7 3 5 7;25;0;error;0 8 6 4
83;11 9 6 2;24;5;10 13 -2 -2;5
84;7 1 0 2;43;6;error;5 4 3 2 1 6
85;5 2 7 2;25;6;-5 4 4;6 4 2 0
86;error;34;10;13 error;4
87;3 1 3 3;40;10;error;6 5 4 3 2 1
88;14 3 6 4;21;5;10 12 14 9 9;9
89;6 9 7 2;22;8;error;1
90;9 4 1 4;1;7;7 7;0 2 4 6
91;error;24;7;-7 -7;1
92;25 1 4 3;5;-2;error;0 0 0 0
93;7 5 6 1;23;13;error;0
94;8 7 8 3;False;0;3 3;4 6 8 0
95;12 2 5 3;42;1;error;0
96;error;20;12;13 0;5
97;25 5 6 1;error;5;9 11 13 8 8;6
98;14 8 5 7;21;6;0 1 1;0
99;error;True;2;13 error;6 1 2 3 4 5
100;8 3 4 0;22;2;error;0 0 0 0
