var;1;2;3;4;5;6;7;8;9
1;0.7142857142857143;0.0;True;False;False;ffTrue;5;error;error
2;0;0.5;False;False;True;ff-8;9;0 3 1 9 7 6;7 3 7 9
3;3.75;-1.75;True;error;False;ffFalse;3;error;12 3 1 5
4;60;3.0;True;True;False;ff-4;6;error;10 2 1 9
5;0.875;9.0;False;error;True;ffTrue;7;error;error
6;0.0;1.0;False;error;False;f1;5;2 5 4 9 8 6;15 4 0 7
7;18.666666666666664;-1.0;True;error;False;fTrue;5;error;error
8;0;0.0;False;error;False;ff-3;4;1 3 9 7 6 8;11 6 9 2
9;4.666666666666666;-0.2222222222222222;False;error;False;fFalse;1;error;error
10;0.3333333333333333;0.0;True;error;False;f-6;7;1 5 3 6 9 7;9 5 2 8
11;45;-80;True;True;True;f-9;5;error;10 0 1 5
12;0.0;1.015625;True;False;False;fFalse;3;error;18 0 9 8
13;0;-3.0;False;error;False;ff4;8;5 0 7 7 8 6;10 3 5 6
14;13.714285714285714;0.0;False;False;True;fTrue;1;4 3 5 8 6 9;5 5 7 1
15;7;2;True;True;False;fFalse;9;error;error
16;0.42857142857142855;-3.0;True;error;False;f-3;4;error;8 4 1 5
17;0.0;2.0;True;False;False;fTrue;4;error;40 3 9 2
18;112.0;-2.25;False;False;False;ff-2;2;error;error
19;0.0;0.0;False;error;False;ffFalse;8;1 5 3 7 9 6;12 5 9 0
20;4;1.3333333333333333;True;False;False;ff9;0;error;8 2 0 9
21;1.5;255;True;True;True;ffFalse;6;5 3 4 8 9 7;8 4 0 5
22;57.6;0.3333333333333333;False;True;False;ff4;2;error;24 1 9 6
23;0.0;-2;True;True;False;ffFalse;1;2 3 5 6 9 7;error
24;0;-2.0;False;False;False;f-5;5;error;11 0 7 3
25;0.0;0.5;True;True;False;ff-1;7;error;14 5 9 8
26;28;-0.3333333333333333;True;False;False;fTrue;3;error;14 1 7 0
27;1.3888888888888888;2.3333333333333335;False;error;False;fFalse;6;3 0 6 7 9 7;5 6 7 2
28;6;17.0;True;False;False;f6;1;error;11 4 5 8
29;64;-1.0123456790123457;True;False;False;f-3;2;error;12 6 3 8
30;3.0;-1;False;error;False;ffTrue;9;0 2 4 9 7 6;error
31;0;1.0;True;error;True;ffTrue;0;1 3 3 8 8 9;11 2 5 8
32;4.0;-6.0;False;False;False;f-2;7;error;error
33;3;-0.5;False;False;False;ff-1;5;4 2 6 9 6 7;17 6 0 3
34;1.2000000000000002;-3;False;error;False;ffFalse;5;error;error
35;0;1.0;True;True;False;ff6;2;error;error
36;20.25;2.25;True;False;False;fTrue;9;error;18 7 6 5
37;0;-2.0;True;False;False;f7;0;1 4 2 8 7 9;8 0 9 7
38;0.0;-2.0;True;False;True;fFalse;1;error;error
39;0.7777777777777777;1.75;True;True;False;f2;4;error;-1 0 1 5
40;0;2;False;True;False;ffTrue;0;error;10 8 6 5
41;15.0;2.0;False;error;False;ff6;0;error;6 7 4 1
42;0;0.0;True;True;False;ffTrue;7;error;13 7 3 1
43;0;-6.0;True;error;False;f-4;6;error;40 8 8 4
44;1.9285714285714284;0.015625;True;error;False;ffFalse;4;2 5 4 7 8 6;11 3 6 5
45;0.0;15;True;error;False;ffTrue;8;3 0 1 6 8 9;error
46;0;1.0;True;error;False;ff-1;4;2 5 7 7 8 6;error
47;0;0.25;True;False;False;f9;4;error;error
48;1.8666666666666667;-3.0;False;True;True;fFalse;9;error;10 2 3 6
49;1.7142857142857142;0.0;True;error;False;f7;3;4 1 3 6 9 8;error
50;18;-2;True;True;False;ffTrue;5;error;8 1 4 6
