var;1;2;3;4;5;6;7;8;9;10
1;5 1 9 8 6 7;12 1 2 4;45;-1;error;[2, 3, 4];error;97531;['0', '2', '3'];[2, 3]
2;error;error;25;5;error;[2, 3, 4];d;[];[10, 11, 12, 13, [1, 2]];[14, '1', '2', '3']
3;error;13 0 6 5;23;0;0 2 -2 -2;0 2 4 6;error;();['0', '1', '2', '11', '3'];[10, 11, 12, 13]
4;error;error;True;9;2 0;[1, 2, 3];a;[8];10 [11, 12, 13];['0', '1', '2', '3']
5;4 4 6 8 7 9;error;40;0;4 6 8 13 9;[1, 2, 3];error;(4, 1);error;[10, 12]
6;3 0 2 7 6 9;19 7 5 4;20;2;error;6 5 4 3 2 1;e;('9', '7', '5');['0', '1', '2', '3', '1', '0'];[15, '2', '3']
7;error;13 0 5 3;21;4;error;[1, 2, 3];a;(0,);3;['1', '2', '3']
8;error;8 4 8 7;error;5;5 8 8;6 4 2 0;1;empty;12 [10, 11, 13];[10, 11, 12, 13, '1', '3']
9;error;error;22;14;-6 6 6;[2, 3, 4];a;['3', '6', '9'];['12', '0', '1', '2', '3'];[10, 11, 12, 13]
10;5 3 6 9 7 8;13 2 0 5;5;9;error;[2, 3, 4];d;[9, 8, 7, 6, 5, 4, 3, 2];[10, 11, 12, 13, '1', '3'];['0', '1', '3']
11;1 0 2 9 8 7;error;error;7;13 error;[1, 2, 3];error;['0', '3'];[10, 11, 12];['1', '1']
12;error;error;24;11;-6 -6;[1, 2, 3];0;[0, 2, 4, 6];['0', '1', '2', '3', 2, 3];[1, 2, '0', '1', '2', '3']
13;error;error;23;4;13 error;[2, 3, 4];error;();['0', '1', '2', '3', [1, 0]];error
14;error;8 5 6 1;43;2;-2 1 -6 -6;[2, 3, 4];error;();error;[10, 11, 12, 13]
15;5 2 1 7 8 6;7 3 1 2;4;9;error;0 8 6 4;1;97531;[10, 11, 12, 13, 4, 5];['1', '0']
16;0 4 9 6 7 8;19 2 3 3;21;10;-10 -3 -3;[1, 2, 3];1;[];[[1, 2], '0', '1', '2', '3'];[1, 0, 10, 11, 12, 13]
17;error;23 9 8 4;30;5;-3 0 7 7;5 4 3 2 1 6;error;(0,);[10, 11, 12, 13, 4, 5];[4, 5]
18;5 3 2 7 8 9;error;24;12;-3 -3;[1, 2, 3];a;('0', '3');error;['0', '1', '2', '3']
19;error;10 0 8 4;22;11;13 error;0;error;['9', '7', '5', '3', '1'];['0', '1', '2', '3', '12'];['0']
20;error;error;42;0;error;[2, 3, 4];b;987;error;[10, 11, '1', '2', 13]
21;3 1 0 6 9 8;6 3 4 7;20;8;-1;4;e;(0, 2, 4, 6, 8);11 [10, 12, 13];['0', '1', '2', 4, 5]
22;4 5 2 6 7 8;error;5;11;error;[1, 2, 3];error;[];[[2, 3], '0', '1', '2', '3'];[10, 11, 12, 13, 12]
23;3 4 8 9 6 9;9 1 9 3;40;8;9 12 -4 -4;[2, 3, 4];2;58;['0', '1', '2', '3', 19];['0', '1', '2', '3']
24;error;10 1 9 1;25;11;error;[1, 2, 3];e;[];[10, 11, 12, 13, '1', '0'];[10, 11, 12, 2, 3]
25;error;7 5 4 7;21;12;-7 -7;[2, 3, 4];2;('9', '7', '5', '3');error;['1', '1', 10, 11, 12, 13]
26;error;20 6 9 1;False;6;error;[1, 2, 3];a;();['0', '1', '2', '3', 1, 0];['0', '1', '2', '3']
27;4 2 3 9 6 7;11 6 3 4;32;14;error;5;c;[];error;error
28;error;6 2 0 2;23;2;0 2 4 13 3;[2, 3, 4];1;();error;[10, 11, 13]
29;2 5 5 7 8 9;10 8 5 2;22;9;2 -1 -1;0 0 0 0;c;10;['0', '1', '2', '3', '13'];['1', '0']
30;error;error;2;6;error;[2, 3, 4];error;['2'];0;['0', '1', '2', '1', '3', '3']
31;4 2 0 6 8 9;15 7 4 3;1;11;3 -7 -7;[2, 3, 4];b;[9, 7, 5, 3, 1];['0', '1', '2', '3', '1', '1'];['0']
32;error;30 1 6 3;24;10;13 error;[1, 2, 3];1;468;[10, 11, [1, 2], 12, 13];error
33;error;error;43;12;error;[1, 2, 3];b;('8', '5');[10, 12, 13];[10, 11, 12, 13, 13]
34;1 2 7 8 9 6;8 6 0 7;25;15;-10 -7 -5 -5;0;error;();error;[1, 0, '2', '3']
35;error;28 5 8 2;42;8;8 10 0 0;[2, 3, 4];e;['6', '9'];3 ['0', '1', '2'];[10, 11, 12, 13]
36;error;8 1 9 1;20;2;error;9;a;();[10, 11, 12, 13, 4, 5];['0', '1', 14]
37;0 1 4 8 7 9;15 3 2 9;35;6;error;1;d;['9'];error;[1, 2]
38;5 1 4 7 9 6;error;23;5;4 6 8 13 5;[1, 2, 3];c;[9, 8, 7, 6, 5, 4, 3, 2, 1, 0];error;['1', '2']
39;error;10 1 9 7;20;12;6 -3 -3;[2, 3, 4];e;();[10, '10', 11, 12, 13];['0', '1', '2', '3']
40;error;error;2;12;error;0;error;empty;['0', '1', '2', '3', '11'];[10, 11, 12, 13, '1', '1']
