var;1;2;3;4;5;6;7;8;9;10;11;12
1;24;-45:d:d:5;0;f0;1;b;1;-8:-8:17:6:5:-8:-8;5:5:8:4;7:2:9:6;314:312:314:514:312;empty
2;0;21:b:b:6;1;ff1;0;z;1;2:6:09:6:3:3:6;19:6:8:1;16:0:7:2;13:13:33:11:11;empty
3;0;-22:b:5:b;1;ff0;1;a;9;3:3:06:4:7:3:3;11:4:3:6;18:0:8:8;411:211:413:413:411;empty
4;40;-12:d:d:6;1;f1;1;l;2;7:7:18:2:4:4:7;7:1:2:5;10:4:2:1;31:11:33:13:31;empty
5;0;1:d:9:d;0;f1;1;r;4;4:5:19:4:8:8:5;13:4:6:6;21:6:4:0;31:31:33:33:33;empty
6;1;-16:2:a:a;1;f0;1;q;5;4:-2:07:3:6:4:-2;5:7:2:3;15:2:8:5;30:31:3-1:3-1:30;empty
7;0;-31:d:5:d;0;ff1;0;g;2;5:6:08:2:3:3:6;13:5:4:3;11:3:9:1;416:716:413:416:413;empty
8;0;-62:3:b:b;1;ff1;1;i;6;9:12:04:11:1:9:12;0:-3:8:6;22:6:1:9;415:415:413:615:413;empty
9;4320;c:c:3:21;1;f1;0;j;6;4:6:12:9:3:3:6;10:3:4:5;11:0:2:7;644:644:844:624:624;empty
10;0;78:8:b:b;1;ff0;1;u;7;5:5:08:6:7:5:5;-1:8:-2:7;17:1:6:4;412:312:412:413:413;empty
11;0;95:a:5:a;0;ff1;1;v;5;5:12:14:6:2:5:12;13:2:4:0;8:1:7:0;44:42:42:22:44;empty
12;0;21:6:c:c;1;ff1;1;s;2;-1:3:19:10:5:5:3;13:5:3:5;14:8:3:2;433:633:433:413:413;empty
13;0;c:c:6:7;1;ff1;0;h;8;1:1:02:6:3:1:1;7:1:4:5;14:1:0:2;324:321:624:321:324;empty
14;0;-51:c:3:c;1;ff1;0;f;5;5:5:06:7:9:9:5;9:4:2:1;18:5:5:7;33:33:31:31:11;empty
15;2;b:4:b:-44;1;f1;0;v;1;17:6:11:2:7:7:6;5:5:0:2;5:3:6:4;22:44:42:42:22;empty
16;0;147:3:a:a;1;f1;0;m;3;4:3:09:4:2:4:3;7:4:2:1;13:1:6:8;443:413:443:743:413;empty
17;0;44:a:9:a;0;ff1;1;r;2;2:5:17:8:4:4:5;10:8:0:9;14:2:8:6;00:0-1:01:01:00;empty
18;5832;c:c:3:38;1;f1;0;b;1;7:5:09:6:5:7:5;24:11:6:8;11:3:8:1;00:00:0-1:01:01;empty
19;0;7:a:8:a;1;f0;0;p;7;6:6:01:5:4:4:6;11:5:4:7;18:4:7:6;33:11:33:31:31;empty
